experiment,map_id,seed,apf_valid,ral_valid,delta_runtime,delta_length,delta_turning,delta_clearance
fixed,S4,1007,1,1,0.22789390899993123,-9.454112658875374,0.0010866821881458013,0.7314829503489619
fixed,S4,1008,1,1,0.262395338000033,-10.333630452218244,0.0033263203242826014,-0.08787232563144443
fixed,S4,1009,1,1,0.2871808150000561,-48.69721430789036,-0.0065592152696855015,2.2054586579553543
fixed,S4,1010,1,1,0.3712549830000853,-0.5532358648177933,-0.011320438627213299,0.28819859616782395
fixed,S4,1011,1,1,0.20818652399975687,1.8865491300412032,-0.0044017263344788005,-2.668288611247227
fixed,S4,1012,1,1,0.26359903500008386,30.66480213576517,0.0072929462445018006,2.4973859818463215
fixed,S4,1013,1,1,0.259365548999881,6.714105748292809,0.022720267428840802,-2.6936145030884973
fixed,S4,1014,1,1,0.30841022799995704,-25.204713690645576,-0.0054520418396653,0.3603662950302535
fixed,S4,1015,1,1,0.30957336999983914,-51.10505767564314,-0.0024308421554155996,0.07535466609518693
fixed,S4,1016,1,1,0.2355332009998392,-6.226990974049954,-0.0023547450110983983,-1.8142532608681279
fixed,S4,1017,1,1,0.2452735839999604,-9.129430782634813,0.009462907991529702,-3.8011747163280996
fixed,S4,1018,1,1,0.2993716389999008,-76.22957897062349,-0.0250314837810601,0.13906986044072772
fixed,S4,1019,1,1,0.2494692469999791,-30.764080593664062,0.0112897141098652,-2.590095085835422
random,D1_50000,8000,1,1,0.27730656899984746,-12.794320213421202,-0.0021320958831312978,1.8536914372559892
random,D1_50001,8001,1,1,0.21133061000000453,-17.728222631077188,-0.007469856132584399,-3.239430893350356
random,D1_50002,8002,1,1,0.389805920000299,-41.49823771134402,-0.006170847530763501,0.5892697236575302
random,D1_50003,8003,1,1,0.3038627549999547,-28.730848178367864,0.00011034774796209873,2.292625401598059
random,D1_50004,8004,1,1,0.2878049420003208,14.356309064515813,0.013819125608962698,0.0724515932179699
random,D1_50005,8005,1,1,0.3349318470000071,-0.7695182153233873,-0.002762572444267898,0.419495484599524
random,D1_50006,8006,1,1,0.330193546999908,-18.97622226802855,-0.0088556351395519,-1.849135820804296
random,D1_50007,8007,1,1,0.3476103299994975,-18.077864688965178,0.019230434069750703,-1.0350662928576142
random,D1_50008,8008,1,1,0.345948043000135,-14.643755544012834,0.006998850168512798,-1.8481551625926365
random,D1_50009,8009,1,1,0.2898135729999467,-11.868870440730007,0.0014390857188945998,-1.9497785718289329
random,D1_50010,8010,1,1,0.3534709160001057,-3.7259155581468804,-0.0009483918554885999,-6.0762605831283025
random,D1_50011,8011,1,1,0.29201329200009235,-37.82819183993172,0.0005903358423026001,1.6158923799183675
random,D1_50012,8012,1,1,0.2649313870001606,25.727446849458147,0.0085666089817701,0.7028819265569233
random,D1_50013,8013,1,1,0.34999114000015646,21.703178931811635,0.0121284499776462,1.37272903005721
random,D1_50014,8014,1,1,0.30615677100013283,-35.52695136085538,-0.003943932280992199,0.18487639264073152
random,D2_51000,8000,1,1,0.4398672369998167,48.724073028606995,0.0108650286856685,2.249061002220614
random,D2_51001,8001,1,1,0.3501870240002063,-9.667351720043598,0.0005497261945611003,-0.1732624564173051
random,D2_51002,8002,1,1,0.3002373269996497,-23.48010799338033,0.011645021860320803,0.3979488320379936
random,D2_51003,8003,1,1,0.3950406699998439,24.054167439541516,0.0289276941090598,0.33123642181368984
